,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,"not_us_citizen(abs, people)",geoid,unemployed%,median_houshold_income,mean_houshold_income,total_housing_units,avg_year_built,occupied_housing_units%,vacant_housing_units%,total_population,median_age,not_us_citizen%
1512,4.17,10.20408163265306,10.20408163265306,2.0408163265306123,7.142857142857142,843,36081009800,11.6,66000,66457,756,1931.1269841269839,90.7,9.3,2859,39.2,29.485834207764956
1513,2.62,36.960672012218396,34.66972126765941,19.969453990072545,0.0,1121,36081104700,8.6,50556,60580,2888,1951.3736149584488,90.7,9.3,6882,43.7,16.288869514675966
1514,3.2,16.188373804267844,13.097866077998528,8.167770419426049,0.7358351729212657,442,36081105900,3.3,82875,120332,1379,1951.510152284264,98.5,1.5,4352,44.1,10.15625
1515,3.18,16.57706093189964,13.261648745519713,8.512544802867383,3.405017921146954,615,36081109900,2.7,74167,95868,1166,1938.277873070326,95.7,4.3,3557,40.6,17.28985099803205
1516,3.69,13.291796469366565,10.59190031152648,1.8691588785046729,0.0,894,36081010400,10.1,67589,92556,1050,1932.6571428571426,91.7,8.3,3556,40.2,25.14060742407199
1517,2.91,34.04255319148936,28.723404255319156,8.51063829787234,2.3936170212765955,307,36047030900,12.1,36087,49929,782,1954.7787723785168,96.2,3.8,2190,32.6,14.018264840182649
1518,2.65,52.447552447552454,31.818181818181817,8.67132867132867,2.727272727272727,367,36047031702,7.6,64231,79920,1662,1932.2864019253911,86.0,14.0,3799,29.9,9.660436957093973
1519,1.94,59.717868338558,46.70846394984326,12.539184952978056,0.0,443,36047032700,10.9,43953,73781,1382,1928.2373371924743,92.3,7.7,2485,45.3,17.826961770623743
1520,2.74,32.09366391184573,24.173553719008265,8.7465564738292,1.1019283746556474,616,36047033600,5.2,76900,96706,1912,1940.75,75.9,24.1,4041,41.7,15.24375154664687
1521,2.26,40.1840490797546,37.26993865030675,25.0,5.214723926380368,143,36047034000,12.4,20714,30486,687,1962.2147016011645,94.9,5.1,2215,58.4,6.455981941309255
1522,2.57,41.17647058823529,36.826495304003956,13.24765200197726,0.5931784478497282,502,36047034300,10.6,27569,50136,2225,1942.4123595505616,90.9,9.1,5279,33.0,9.509376775904526
1523,2.65,33.70319001386963,27.600554785020805,13.592233009708734,0.0,457,36047038800,4.5,62289,80281,1527,1948.2400130975768,94.4,5.6,3833,32.7,11.922775893555961
1524,3.46,48.573692551505545,28.3676703645008,9.58795562599049,2.77337559429477,977,36047039500,15.9,46582,61955,1440,1934.874305555556,87.6,12.4,4422,31.1,22.094075079149704
1525,2.75,49.470712773465074,36.97953422724065,13.267466478475654,3.3874382498235716,348,36047039900,12.9,40375,52453,1517,1928.9957152274226,93.4,6.6,3893,29.8,8.939121500128437
1526,3.12,18.881856540084392,17.29957805907173,11.181434599156118,4.4303797468354436,481,36047040200,5.9,53269,71074,1001,1934.566933066933,94.7,5.3,2962,37.9,16.2390276839973
1527,2.7,37.257939581719604,23.934934159566232,2.7885360185902406,0.0,745,36047040900,9.9,48052,57721,1432,1932.665502793296,90.2,9.8,3526,31.5,21.1287577992059
1528,3.4,22.655122655122657,20.779220779220783,7.936507936507937,8.513708513708513,306,36047041600,9.8,46797,68939,781,1938.1939820742639,88.7,11.3,2357,30.8,12.982605006364023
1529,3.08,26.63594470046083,23.87096774193548,10.506912442396313,5.161290322580644,589,36047040000,10.2,51835,64109,1158,1931.4905008635574,93.7,6.3,3344,41.0,17.613636363636363
1530,3.05,45.62962962962963,17.62962962962963,7.481481481481483,3.037037037037037,1085,36047042300,12.3,62750,70410,1433,1953.381367759944,94.2,5.8,4384,28.6,24.749087591240876
1531,2.89,30.763299922898998,25.212027756360836,13.338473400154202,5.474171164225135,880,36047042400,8.9,49417,72016,1478,1935.8294993234101,87.8,12.2,3752,39.3,23.454157782515992
1532,3.33,20.26726057906459,20.26726057906459,12.24944320712695,2.5612472160356345,199,36047044200,3.8,71848,129191,934,1947.8115631691646,96.1,3.9,2991,31.0,6.65329321297225
1533,3.2,22.08092485549133,21.27167630057804,11.445086705202312,0.8092485549132947,134,36047045200,2.4,76563,100708,922,1946.283080260304,93.8,6.2,2768,28.9,4.841040462427745
1534,3.91,15.924657534246574,15.924657534246574,8.21917808219178,2.568493150684932,198,36047046202,4.4,52738,103942,627,1933.8221690590112,93.1,6.9,2283,25.4,8.672798948751643
1535,3.99,19.09502262443439,13.212669683257921,7.60180995475113,0.0,793,36047047800,9.2,41719,75751,1204,1942.5523255813955,91.8,8.2,4455,26.3,17.800224466891134
1536,3.56,30.691244239631338,25.89861751152074,10.783410138248847,0.0,913,36047048000,8.4,30659,54882,1127,1952.99157054126,96.3,3.7,4028,27.2,22.66633565044687
1537,2.3,64.2966360856269,33.86850152905198,13.53211009174312,0.5351681957186544,624,36047048100,7.0,76682,93623,1401,1954.2808708065668,93.4,6.6,3050,32.6,20.45901639344262
1538,2.98,33.78926038500507,19.50354609929078,3.2421479229989867,6.68693009118541,1196,36047050600,5.7,51063,62720,2065,1933.4152542372879,95.6,4.4,5986,32.2,19.979953224189774
1539,1.74,72.03264094955489,48.3679525222552,5.637982195845697,0.0,439,36047051700,1.3,106184,138279,1348,1963.2818991097918,100.0,0.0,2343,32.9,18.73666239863423
1540,2.31,37.35108619481429,29.99299229152067,6.867554309740714,2.102312543798178,461,36047051800,5.3,60362,101102,1513,1935.0254461335096,94.3,5.7,3307,41.8,13.940127003326278
1541,3.11,27.339084273390842,20.039814200398144,3.11877903118779,0.0,783,36047052000,6.4,59146,90157,1546,1932.9670116429493,97.5,2.5,4684,32.5,16.716481639624252
1542,2.67,34.83935742971887,30.823293172690764,13.353413654618473,1.104417670682731,307,36047053200,15.3,63906,93964,1058,1941.9054820415881,94.1,5.9,2659,37.8,11.545693869875894
1543,2.63,36.72806067172265,32.28602383531961,11.375947995666303,0.6500541711809318,1047,36047054600,7.5,48971,69578,1971,1941.5426179604267,93.7,6.3,4861,38.2,21.538778029212096
1544,2.37,40.81475787855496,36.43351268255189,14.91160645657187,0.0,380,36047014200,9.7,58309,75843,1440,1936.357638888889,90.3,9.7,3084,37.6,12.321660181582361
1545,2.06,56.99999999999999,43.56,17.0,0.0,354,36047015900,3.5,130021,176961,2815,1933.2090586145648,88.8,11.2,5161,35.4,6.859135826390235
1546,2.72,28.517823639774857,19.934333958724203,6.050656660412757,0.0,489,36047016700,2.1,141316,198989,2291,1921.2590571802707,93.1,6.9,5800,35.6,8.431034482758621
1547,1.87,57.41106719367589,48.91304347826087,21.14624505928854,0.0,217,36047003100,9.1,85577,107252,1108,1965.8249097472924,91.3,8.7,2800,39.2,7.75
1548,2.05,60.57142857142858,39.93650793650794,4.126984126984127,0.0,199,36047004300,5.2,120368,175712,1731,1959.1048526863085,91.0,9.0,3336,35.2,5.965227817745803
1549,2.29,41.871026339691184,29.70027247956403,4.904632152588556,0.0,114,36047005100,2.9,99792,128312,1122,1949.1960784313726,98.1,1.9,2523,40.0,4.5184304399524375
1550,2.12,56.93950177935944,35.64650059311981,2.7876631079478056,0.0,208,36047006900,3.9,132500,180593,1753,1938.6859669138614,96.2,3.8,3581,35.0,5.808433398492041
1551,3.87,14.829659318637276,14.829659318637276,5.811623246492987,10.220440881763528,417,36047117000,5.8,36553,45645,622,1935.5369774919614,80.2,19.8,1930,24.7,21.606217616580313
1552,3.18,17.158176943699733,17.158176943699733,5.361930294906166,1.7426273458445043,504,36047117201,9.0,58482,63798,834,1931.5683453237411,89.4,10.6,2369,32.6,21.274799493457156
1553,3.81,13.169446883230902,9.482001755926252,4.214223002633889,3.863037752414399,858,36047117400,5.7,53512,64073,1434,1930.1834030683406,79.4,20.6,4362,31.0,19.669876203576344
1554,3.14,27.282266526757606,23.92444910807975,6.08604407135362,6.505771248688352,705,36047117602,9.0,41703,50845,1124,1933.6770462633447,84.8,15.2,2996,34.1,23.531375166889184
1555,2.85,33.240869163199264,22.93111419325012,3.0513176144244105,1.155802126675913,1084,36047122000,10.7,44944,73759,2346,1989.035379369139,92.2,7.8,6169,31.2,17.57172961582104
1556,2.03,56.49122807017544,46.622807017543856,15.43859649122807,1.4035087719298245,606,36047031300,3.6,41165,59086,2498,1927.0400320256208,91.3,8.7,4753,42.0,12.749842204923207
1557,2.89,23.730964467005077,18.527918781725887,7.868020304568528,0.2538071065989848,250,36047101400,5.3,69464,75779,853,1952.0322391559205,92.4,7.6,2280,44.5,10.964912280701753
1558,3.18,33.36431226765799,27.881040892193308,11.338289962825279,10.130111524163569,407,36047111800,12.0,31842,46234,1286,1960.1531881804044,83.7,16.3,3418,33.8,11.907548273844354
1559,3.08,31.540084388185647,29.852320675105485,6.7510548523206735,3.6919831223628687,628,36047115800,12.1,53125,72616,1162,1947.39586919105,81.6,18.4,2938,35.5,21.37508509189925
1560,2.99,40.228136882129284,26.38783269961977,10.11406844106464,3.574144486692015,485,36047040300,8.5,36116,59834,1525,1947.8193442622949,86.2,13.8,4025,32.0,12.049689440993788
1561,2.49,35.512129380053906,28.234501347708893,18.19407008086253,0.0,744,36047042800,8.9,52569,72818,1576,1935.3032994923856,94.2,5.8,3692,43.3,20.151679306608884
1562,3.99,19.236417033773858,19.236417033773858,10.719530102790015,0.0,137,36047047000,3.6,46250,84359,755,1952.7052980132448,90.2,9.8,2719,20.9,5.038617138653917
1563,2.96,30.891719745222932,27.38853503184713,15.764331210191086,3.1847133757961785,265,36047019800,2.7,58750,80667,689,1937.5116110304791,91.1,8.9,1860,41.8,14.24731182795699
1564,2.62,47.732843137254896,36.090686274509814,3.8602941176470584,1.6544117647058825,175,36047029700,5.3,58462,91629,1803,1926.1195230171936,90.5,9.5,4302,34.7,4.0678754067875404
